,brand,model,variant,year,price,fuel_type,transmission,km_driven,ownership,body_type,city_id,car_age,price_segment
505,Maruti,Swift,VXI,2017,413000,Petrol,Manual,173572,1,Hatchback,3686,9,Mid-Range
506,Maruti,Swift Dzire,VDI,2012,283000,Diesel,Manual,95633,2,Sedan,3686,14,Budget
507,Maruti,Celerio,ZXI,2015,250000,Petrol,Manual,90342,1,Hatchback,3686,11,Budget
508,Maruti,Baleno,DELTA PETROL 1.2,2017,402000,Petrol,Manual,57789,3,Hatchback,3686,9,Mid-Range
509,Maruti,Swift Dzire,VDI,2011,196000,Diesel,Manual,286311,4,Sedan,3686,15,Budget
510,Maruti,Alto K10,LXI,2023,337000,Petrol,Manual,60830,1,Hatchback,3686,3,Mid-Range
511,Maruti,Alto K10,VXI (O) AMT,2017,250000,Petrol,Automatic,92586,2,Hatchback,3686,9,Budget
512,Maruti,Ertiga,ZDI,2015,622000,Diesel,Manual,95238,2,SUV,3686,11,Mid-Range
513,Maruti,Dzire,ZXI PLUS AMT,2017,458000,Petrol,Automatic,53010,1,Sedan,3686,9,Mid-Range
514,Maruti,Dzire,VDI,2019,578000,Diesel,Manual,130281,2,Sedan,3686,7,Mid-Range
515,Maruti,Wagon R 1.0,VXI,2011,176000,Petrol,Manual,128538,2,Hatchback,3686,15,Budget
516,Maruti,Dzire,ZDI AMT,2018,589000,Diesel,Automatic,96286,2,Sedan,3686,8,Mid-Range
517,Maruti,Swift,VXI,2021,513000,Petrol,Manual,53732,1,Hatchback,3686,5,Mid-Range
518,Maruti,Baleno,DELTA PETROL 1.2,2018,453000,Petrol,Manual,124106,2,Hatchback,3686,8,Mid-Range
519,Maruti,Alto,LXI,2011,104000,Petrol,Manual,143847,3,Hatchback,3686,15,Budget
520,Maruti,Swift,VDI,2015,375000,Diesel,Manual,74473,2,Hatchback,3686,11,Mid-Range
521,Maruti,SX4,VDI,2012,217000,Diesel,Manual,130274,1,Sedan,3686,14,Budget
522,Maruti,Alto K10,LXI,2018,204000,Petrol,Manual,87861,3,Hatchback,3686,8,Budget
523,Maruti,Swift Dzire,VDI,2013,333000,Diesel,Manual,133194,2,Sedan,3686,13,Mid-Range
524,Maruti,Swift,VDI,2011,163000,Diesel,Manual,110252,2,Hatchback,3686,15,Budget
525,Maruti,Alto,LXI,2011,111000,Petrol,Manual,62737,2,Hatchback,3686,15,Budget
526,Maruti,Swift,VXI,2015,315000,Petrol,Manual,106423,3,Hatchback,3686,11,Mid-Range
527,Maruti,Baleno,DELTA PETROL 1.2,2016,410000,Petrol,Manual,79336,1,Hatchback,3686,10,Mid-Range
528,Maruti,Wagon R 1.0,VXI,2012,178000,Petrol,Manual,71575,3,Hatchback,3686,14,Budget
529,Maruti,Alto,LXI,2011,170000,Petrol,Manual,88527,1,Hatchback,3686,15,Budget
530,Maruti,Ertiga,ZDI+ 1.5,2019,1044000,Diesel,Manual,88185,2,SUV,3686,7,Premium
531,Maruti,Celerio,VXI,2016,296000,Petrol,Manual,80673,1,Hatchback,3686,10,Budget
532,Maruti,Vitara Brezza,ZXI,2021,698000,Petrol,Manual,63271,1,SUV,3686,5,Mid-Range
533,Maruti,Wagon R 1.0,LXI CNG,2012,182000,CNG,Manual,75207,2,Hatchback,3686,14,Budget
534,Maruti,Baleno,ZETA CVT PETROL 1.2,2020,594000,Petrol,Automatic,51326,1,Hatchback,3686,6,Mid-Range
535,Maruti,Dzire,VDI,2018,601000,Diesel,Manual,113834,2,Sedan,3686,8,Mid-Range
536,Maruti,S Cross,ZETA 1.3,2018,580000,Diesel,Manual,172333,2,SUV,3686,8,Mid-Range
537,Maruti,XL6,ALPHA MT,2022,862000,Petrol,Manual,79084,1,SUV,3686,4,Premium
538,Maruti,Swift,VDI AMT,2019,444000,Diesel,Automatic,133370,2,Hatchback,3686,7,Mid-Range
539,Maruti,Celerio X,VXI,2018,319000,Petrol,Manual,78134,2,Hatchback,3686,8,Mid-Range
540,Maruti,Swift,VXI,2015,310000,Petrol,Manual,111371,2,Hatchback,3686,11,Mid-Range
541,Maruti,Celerio,TOUR H2,2019,241000,Petrol,Manual,96859,2,Hatchback,3686,7,Budget
542,Maruti,Celerio,VXI (O),2016,310000,Petrol,Manual,186614,1,Hatchback,3686,10,Mid-Range
543,Maruti,Wagon R 1.0,VXI,2014,304000,Petrol,Manual,68005,1,Hatchback,3686,12,Mid-Range
544,Maruti,Wagon R 1.0,LXI CNG,2012,157000,CNG,Manual,148433,2,Hatchback,3686,14,Budget
545,Maruti,Ertiga,VDI,2013,366000,Diesel,Manual,162536,1,SUV,3686,13,Mid-Range
546,Maruti,Vitara Brezza,VXI,2020,600000,Petrol,Manual,97038,1,SUV,3686,6,Mid-Range
547,Maruti,Alto,LXI,2019,267000,Petrol,Manual,30622,1,Hatchback,3686,7,Budget
548,Maruti,New Wagon-R,VXI 1.2,2021,429000,Petrol,Manual,120000,1,Hatchback,3686,5,Mid-Range
549,Maruti,IGNIS,DELTA 1.2,2022,460000,Petrol,Manual,19728,2,Hatchback,3686,4,Mid-Range
550,Maruti,S Cross,ZETA 1.3,2017,511000,Diesel,Manual,108783,1,SUV,3686,9,Mid-Range
551,Maruti,Wagon R 1.0,LXI CNG,2012,170000,CNG,Manual,135164,1,Hatchback,3686,14,Budget
552,Maruti,Swift Dzire,VDI,2011,199000,Diesel,Manual,134235,2,Sedan,3686,15,Budget
553,Maruti,Wagon R 1.0,VXI,2012,170000,Petrol,Manual,84182,2,Hatchback,3686,14,Budget
554,Maruti,Vitara Brezza,ZDI,2017,580000,Diesel,Manual,165552,2,SUV,3686,9,Mid-Range
555,Maruti,Swift Dzire,ZXI,2015,400000,Petrol,Manual,96047,2,Sedan,3686,11,Mid-Range
556,Maruti,Celerio,ZXI,2016,300000,Petrol,Manual,74821,1,Hatchback,3686,10,Budget
557,Maruti,Swift,VXI,2023,560000,Petrol,Manual,103621,2,Hatchback,3686,3,Mid-Range
558,Maruti,SX4,ZXI AT LEATHER,2011,199000,Petrol,Automatic,114081,2,Sedan,3686,15,Budget
559,Maruti,Swift,VXI,2011,165000,Petrol,Manual,102184,4,Hatchback,3686,15,Budget
560,Maruti,Swift,ZXI PLUS AMT,2020,581000,Petrol,Automatic,76549,1,Hatchback,3686,6,Mid-Range
561,Maruti,Vitara Brezza,ZDI,2018,709000,Diesel,Manual,168522,1,SUV,3686,8,Premium
562,Maruti,Baleno,DELTA DIESEL 1.3,2019,499000,Diesel,Manual,107067,1,Hatchback,3686,7,Mid-Range
563,Maruti,Alto,VXI PLUS,2021,327000,Petrol,Manual,31714,1,Hatchback,3686,5,Mid-Range
564,Maruti,Ciaz,VXI+,2017,430000,Petrol,Manual,95848,1,Sedan,3686,9,Mid-Range
565,Maruti,XL6,ZETA MT,2020,749000,Petrol,Manual,40798,1,SUV,3686,6,Premium
566,Maruti,Wagon R 1.0,LXI CNG,2011,142000,CNG,Manual,120279,1,Hatchback,3686,15,Budget
567,Maruti,Wagon R 1.0,LXI CNG,2011,143000,CNG,Manual,120277,1,Hatchback,3686,15,Budget
568,Maruti,S PRESSO,VXI+,2021,367000,Petrol,Manual,20169,1,Hatchback,3686,5,Mid-Range
569,Maruti,Alto K10,VXI,2022,380000,Petrol,Manual,33971,1,Hatchback,3686,4,Mid-Range
570,Maruti,Vitara Brezza,ZDI,2017,596000,Diesel,Manual,164105,3,SUV,3686,9,Mid-Range
571,Maruti,Grand Vitara,SIGMA SMART HYBRID,2024,921000,Petrol,Manual,38160,1,SUV,3686,2,Premium
572,Maruti,Swift Dzire,TOUR S (O),2020,362000,Petrol,Manual,135530,2,Sedan,3686,6,Mid-Range
573,Maruti,Swift,VXI,2014,340000,Petrol,Manual,65105,1,Hatchback,3686,12,Mid-Range
574,Maruti,Alto,LXI,2012,162000,Petrol,Manual,47570,2,Hatchback,3686,14,Budget
575,Maruti,Celerio,ZXI AMT,2017,350000,Petrol,Automatic,83948,2,Hatchback,3686,9,Mid-Range
576,Maruti,Alto K10,VXI,2012,120000,Petrol,Manual,117451,2,Hatchback,3686,14,Budget
577,Maruti,Celerio,VXI AMT (O),2017,457000,Petrol,Automatic,46240,1,Hatchback,3686,9,Mid-Range
578,Maruti,Celerio,ZXI AMT,2017,302000,Petrol,Automatic,40567,2,Hatchback,3686,9,Mid-Range
579,Maruti,Baleno,DELTA PETROL 1.2,2025,667000,Petrol,Manual,23813,1,Hatchback,3686,1,Mid-Range
580,Maruti,Baleno,ZETA CVT PETROL 1.2,2019,530000,Petrol,Automatic,111420,1,Hatchback,3686,7,Mid-Range
581,Maruti,Dzire,VXI AMT,2021,556000,Petrol,Automatic,60128,1,Sedan,3686,5,Mid-Range
582,Maruti,Vitara Brezza,ZDI PLUS,2017,628000,Diesel,Manual,147588,1,SUV,3686,9,Mid-Range
583,Maruti,Ertiga,VDI,2013,439000,Diesel,Manual,139810,1,SUV,3686,13,Mid-Range
584,Maruti,Alto,LXI O,2020,318000,Petrol,Manual,41741,1,Hatchback,3686,6,Mid-Range
585,Maruti,Baleno,DELTA PETROL 1.2,2018,490000,Petrol,Manual,72673,1,Hatchback,3686,8,Mid-Range
586,Maruti,Alto 800,LXI,2018,230000,Petrol,Manual,68236,1,Hatchback,3686,8,Budget
587,Maruti,Wagon R 1.0,VXI AMT,2017,326000,Petrol,Automatic,61437,2,Hatchback,3686,9,Mid-Range
588,Maruti,Alto K10,LXI,2011,117000,Petrol,Manual,120000,1,Hatchback,3686,15,Budget
589,Maruti,Alto,VXI,2021,323000,Petrol,Manual,26089,2,Hatchback,3686,5,Mid-Range
590,Maruti,Ciaz,DELTA 1.5 SHVS MT PETROL,2022,784000,Petrol,Manual,18800,1,Sedan,3686,4,Premium
591,Maruti,Ciaz,ALPHA  AT 1.5 SHVS PETROL,2021,792000,Petrol,Automatic,36575,1,Sedan,3686,5,Premium
592,Maruti,Baleno,ALPHA 1.2 AGS,2024,825000,Petrol,Automatic,13293,1,Hatchback,3686,2,Premium
593,Maruti,Vitara Brezza,ZDI,2018,680000,Diesel,Manual,159297,1,SUV,3686,8,Mid-Range
594,Maruti,Swift Dzire,ZDI,2013,361000,Diesel,Manual,75670,1,Sedan,3686,13,Mid-Range
595,Maruti,Swift,VXi (O) AMT,2024,743000,Petrol,Automatic,33447,1,Hatchback,3686,2,Premium
596,Maruti,Ertiga,ZDI,2015,653000,Diesel,Manual,113564,1,SUV,3686,11,Mid-Range
597,Maruti,Swift Dzire,VDI,2015,350000,Diesel,Manual,111028,2,Sedan,3686,11,Mid-Range
598,Maruti,Baleno,DELTA PETROL 1.2,2017,470000,Petrol,Manual,53694,1,Hatchback,3686,9,Mid-Range
599,Maruti,Baleno,DELTA PETROL 1.2,2017,448000,Petrol,Manual,106605,1,Hatchback,3686,9,Mid-Range
600,Maruti,Swift,LXI,2012,249000,Petrol,Manual,85476,1,Hatchback,3686,14,Budget
601,Maruti,Dzire,ZXi Plus,2025,892000,Petrol,Manual,1695,1,Sedan,3686,1,Premium
602,Maruti,Wagon R 1.0,VXI,2018,360000,Petrol,Manual,40916,2,Hatchback,3686,8,Mid-Range
603,Maruti,Vitara Brezza,LDI,2016,539000,Diesel,Manual,101368,2,SUV,3686,10,Mid-Range
