,brand,model,variant,year,price,fuel_type,transmission,km_driven,ownership,body_type,city_id,car_age,price_segment
688,Maruti,Ciaz,ZETA 1.5 SHVS MT PETROL,2022,670000,Petrol,Manual,80485,1,Sedan,3686,4,Mid-Range
689,Maruti,S Cross,ZETA 1.3,2017,662000,Diesel,Manual,202405,1,SUV,3686,9,Mid-Range
690,Maruti,Baleno,ZETA PETROL 1.2,2021,580000,Petrol,Manual,92904,2,Hatchback,3686,5,Mid-Range
691,Maruti,Alto K10,VXI PLUS,2022,397000,Petrol,Manual,59918,2,Hatchback,3686,4,Mid-Range
692,Maruti,Ertiga,ZDI,2012,426000,Diesel,Manual,158455,3,SUV,3686,14,Mid-Range
693,Maruti,Dzire,VXI,2021,636000,Petrol,Manual,16108,1,Sedan,3686,5,Mid-Range
694,Maruti,BREZZA,ZXI + SMART HYBRID DUAL TONE,2023,1027000,Petrol,Manual,60433,1,SUV,3686,3,Premium
695,Maruti,Swift,ZDI AMT,2018,560000,Diesel,Automatic,101723,1,Hatchback,3686,8,Mid-Range
696,Maruti,Vitara Brezza,ZXI PLUS AT SHVS,2022,1047000,Petrol,Automatic,42322,1,SUV,3686,4,Premium
697,Maruti,Dzire,ZDI AMT,2017,702000,Diesel,Automatic,83587,1,Sedan,3686,9,Premium
698,Maruti,Eeco,5 STR WITH A/C+HTR,2019,314000,Petrol,Manual,106059,2,SUV,3686,7,Mid-Range
699,Maruti,Baleno,ALPHA DIESEL 1.3,2015,411000,Diesel,Manual,255720,1,Hatchback,3686,11,Mid-Range
700,Maruti,XL6,ALPHA AT,2020,922000,Petrol,Automatic,50941,1,SUV,3686,6,Premium
701,Maruti,Dzire,ZDI AMT,2017,750000,Diesel,Automatic,67404,1,Sedan,3686,9,Premium
702,Maruti,BREZZA,ZXI + SMART HYBRID DUAL TONE,2022,1110000,Petrol,Manual,15613,1,SUV,3686,4,Premium
703,Maruti,S Cross,ZETA 1.3,2019,650000,Diesel,Manual,157440,1,SUV,3686,7,Mid-Range
704,Maruti,Vitara Brezza,ZXI,2020,695000,Petrol,Manual,81473,1,SUV,3686,6,Mid-Range
705,Maruti,XL6,ZETA AT,2020,862000,Petrol,Automatic,76383,1,SUV,3686,6,Premium
706,Maruti,BREZZA,VXI S-CNG,2023,931000,CNG,Manual,72855,1,SUV,3686,3,Premium
707,Maruti,Alto,VXI,2021,359000,Petrol,Manual,27708,1,Hatchback,3686,5,Mid-Range
708,Maruti,Vitara Brezza,VXI,2020,789000,Petrol,Manual,63949,1,SUV,3686,6,Premium
709,Maruti,Alto,VXI PLUS,2025,431000,Petrol,Manual,4863,1,Hatchback,3686,1,Mid-Range
710,Maruti,Dzire,ZXI Plus AMT,2022,808000,Petrol,Automatic,92649,1,Sedan,3686,4,Premium
711,Maruti,XL6,ALPHA AT,2020,897000,Petrol,Automatic,122203,1,SUV,3686,6,Premium
712,Maruti,S Cross,DELTA 1.3,2019,795000,Diesel,Manual,163863,1,SUV,3686,7,Premium
713,Maruti,S Cross,ZETA 1.3,2019,683000,Diesel,Manual,130866,1,SUV,3686,7,Mid-Range
714,Maruti,S Cross,ALPHA 1.3,2017,647000,Diesel,Manual,87667,1,SUV,3686,9,Mid-Range
715,Maruti,OMNI E,STD,2017,219000,CNG,Manual,59466,3,SUV,3686,9,Budget
716,Maruti,Swift Dzire,LDI,2013,297000,Diesel,Manual,121437,1,Sedan,3686,13,Budget
717,Maruti,Swift,VXI,2013,389000,Petrol,Manual,63824,2,Hatchback,3686,13,Mid-Range
718,Maruti,Alto 800,LXI O,2017,238000,Petrol,Manual,62959,2,Hatchback,3686,9,Budget
719,Maruti,Ritz,LDI,2011,193000,Diesel,Manual,122581,1,Hatchback,3686,15,Budget
720,Maruti,Swift Dzire,VDI,2011,274000,Diesel,Manual,105627,1,Sedan,3686,15,Budget
721,Maruti,BREZZA,LXI,2024,858000,Petrol,Manual,16194,1,SUV,3686,2,Premium
722,Maruti,Baleno,ZETA PETROL 1.2,2018,527000,Petrol,Manual,34009,1,Hatchback,3686,8,Mid-Range
723,Maruti,Wagon R Duo,DUO LX LPG,2008,151000,Petrol,Manual,89026,2,Hatchback,3686,18,Budget
724,Maruti,Vitara Brezza,ZDI PLUS,2017,720000,Diesel,Manual,81777,2,SUV,3686,9,Premium
725,Maruti,Swift Dzire,VDI,2011,215000,Diesel,Manual,1081000,2,Sedan,3686,15,Budget
726,Maruti,Swift,VXI,2018,407919,Petrol,Manual,119894,1,Hatchback,3686,8,Mid-Range
727,Maruti,Baleno,ALPHA CVT PETROL 1.2,2018,437000,Petrol,Automatic,40456,3,Hatchback,3686,8,Mid-Range
728,Maruti,Celerio,ZXI (O),2021,362000,Petrol,Manual,47283,1,Hatchback,3686,5,Mid-Range
729,Maruti,Wagon R 1.0,VXI,2015,237500,Petrol,Manual,36133,1,Hatchback,3686,11,Budget
730,Maruti,Wagon R 1.0,LXI,2015,210000,Petrol,Manual,78860,1,Hatchback,3686,11,Budget
731,Maruti,Eeco,5 STR WITH A/C+HTR,2020,405273,Petrol,Manual,63172,2,SUV,3686,6,Mid-Range
732,Maruti,Dzire,ZXI AMT,2017,523280,Petrol,Automatic,22254,1,Sedan,3686,9,Mid-Range
733,Maruti,Wagon R 1.0,VXI,2015,263000,Petrol,Manual,48478,1,Hatchback,3686,11,Budget
734,Maruti,New Wagon-R,VXI CNG 1.0,2023,470000,CNG,Manual,41552,1,Hatchback,3686,3,Mid-Range
735,Maruti,Alto,LXI CNG,2021,328000,CNG,Manual,82569,2,Hatchback,3686,5,Mid-Range
736,Hyundai,Elite i20,ASTA 1.2,2016,486315,Petrol,Manual,7619,1,Hatchback,3686,10,Mid-Range
737,Hyundai,Elite i20,ASTA 1.2,2016,481016,Petrol,Manual,63325,1,Hatchback,3686,10,Mid-Range
738,Hyundai,i10,ERA 1.1,2013,157000,Petrol,Manual,66007,2,Hatchback,3686,13,Budget
739,Hyundai,NEW SANTRO,ASTA MT,2018,340000,Petrol,Manual,46056,1,Hatchback,3686,8,Mid-Range
740,Hyundai,Elite i20,ASTA 1.4 CRDI,2017,432000,Diesel,Manual,68622,2,Hatchback,3686,9,Mid-Range
741,Hyundai,Creta,SX PLUS AT 1.6 DIESEL,2015,725000,Diesel,Automatic,135334,2,SUV,3686,11,Premium
742,Hyundai,i20,MAGNA 1.2,2014,298602,Petrol,Manual,40677,2,Hatchback,3686,12,Budget
743,Hyundai,Creta,SX 1.6 PETROL,2019,800000,Petrol,Manual,84646,1,SUV,3686,7,Premium
744,Hyundai,VENUE,S 1.2,2020,571000,Petrol,Manual,72978,1,SUV,3686,6,Mid-Range
745,Hyundai,NEW I20,MAGNA 1.2 MT,2021,506865,Petrol,Manual,74472,1,Hatchback,3686,5,Mid-Range
746,Hyundai,NEW I20,SPORTZ 1.2 AT,2021,548000,Petrol,Automatic,90600,1,Hatchback,3686,5,Mid-Range
747,Hyundai,Elite i20,SPORTZ PLUS 1.2,2020,558500,Petrol,Manual,36392,1,Hatchback,3686,6,Mid-Range
748,Hyundai,Elite i20,ASTA 1.4 CRDI,2015,390000,Diesel,Manual,92670,1,Hatchback,3686,11,Mid-Range
749,Hyundai,Creta,S 1.5 PETROL,2021,864523,Petrol,Manual,55869,1,SUV,3686,5,Premium
750,Hyundai,i10,SPORTZ 1.2 AT,2012,185000,Petrol,Automatic,119089,1,Hatchback,3686,14,Budget
751,Hyundai,VENUE,SX 1.0 (O) TURBO IMT,2021,668000,Petrol,Manual,60510,1,SUV,3686,5,Mid-Range
752,Hyundai,Elite i20,SPORTZ 1.2,2015,368000,Petrol,Manual,66605,1,Hatchback,3686,11,Mid-Range
753,Hyundai,NEW I20,ASTA 1.0 GDI TURBO DCT,2021,662000,Petrol,Automatic,52147,1,Hatchback,3686,5,Mid-Range
754,Hyundai,Santro Xing,GLS,2013,210652,Petrol,Manual,64426,1,Hatchback,3686,13,Budget
755,Hyundai,NEW I20,SPORTZ 1.5 MT,2022,666000,Diesel,Manual,76841,2,Hatchback,3686,4,Mid-Range
756,Hyundai,Grand i10,SPORTZ 1.2 KAPPA VTVT,2018,368000,Petrol,Manual,65864,2,Hatchback,3686,8,Mid-Range
757,Hyundai,Grand i10,SPORTZ AT 1.2 KAPPA VTVT,2018,418000,Petrol,Automatic,46735,2,Hatchback,3686,8,Mid-Range
758,Hyundai,Xcent,BASE 1.2,2014,290000,Petrol,Manual,14427,1,Sedan,3686,12,Budget
759,Hyundai,Grand i10,SPORTZ 1.2 KAPPA VTVT,2014,254000,Petrol,Manual,96484,2,Hatchback,3686,12,Budget
760,Hyundai,Elite i20,ASTA 1.4 CRDI,2015,510895,Diesel,Manual,37505,1,Hatchback,3686,11,Mid-Range
761,Hyundai,Verna,1.6 VTVT SX,2017,539000,Petrol,Manual,60315,2,Sedan,3686,9,Mid-Range
762,Hyundai,Eon,D-LITE+,2016,195785,Petrol,Manual,81190,3,Hatchback,3686,10,Budget
763,Hyundai,NEW SANTRO,ASTA MT,2018,352326,Petrol,Manual,41252,1,Hatchback,3686,8,Mid-Range
764,Hyundai,Verna,FLUIDIC 1.6 CRDI SX,2014,372000,Diesel,Manual,113867,1,Sedan,3686,12,Mid-Range
765,Hyundai,i10,SPORTZ 1.2,2012,172000,Petrol,Manual,57099,2,Hatchback,3686,14,Budget
766,Hyundai,i10,MAGNA 1.2,2013,183000,Petrol,Manual,66847,2,Hatchback,3686,13,Budget
767,Hyundai,i20 Active,1.2 SX,2016,486949,Petrol,Manual,35115,1,Hatchback,3686,10,Mid-Range
768,Hyundai,Creta,SX PLUS AT 1.6 DIESEL,2016,678500,Diesel,Automatic,107788,1,SUV,3686,10,Mid-Range
769,Hyundai,Elite i20,SPORTZ PLUS  1.2 CVT,2019,589000,Petrol,Automatic,30804,1,Hatchback,3686,7,Mid-Range
770,Hyundai,Grand i10,MAGNA 1.2 KAPPA VTVT,2014,295000,Petrol,Manual,35544,1,Hatchback,3686,12,Budget
771,Hyundai,NEW I20,Sportz (O) 1.2 IVT,2025,867742,Petrol,Automatic,2915,1,Hatchback,3686,1,Premium
772,Hyundai,Elite i20,ASTA 1.2 (O),2019,579000,Petrol,Manual,48469,1,Hatchback,3686,7,Mid-Range
773,Hyundai,Eon,ERA +,2015,176000,Petrol,Manual,85616,2,Hatchback,3686,11,Budget
774,Hyundai,i10,SPORTZ 1.1,2015,239000,Petrol,Manual,50025,1,Hatchback,3686,11,Budget
775,Hyundai,Creta,SX PLUS 1.6 PETROL,2017,689000,Petrol,Manual,80223,1,SUV,3686,9,Mid-Range
776,Hyundai,Verna,FLUIDIC 1.6 CRDI S(O) 4S,2015,454000,Diesel,Manual,88309,3,Sedan,3686,11,Mid-Range
777,Hyundai,i10,SPORTZ 1.2,2013,197000,Petrol,Manual,71188,1,Hatchback,3686,13,Budget
778,Hyundai,i20,ASTA 1.4 CRDI,2013,245000,Diesel,Manual,141813,2,Hatchback,3686,13,Budget
779,Hyundai,Creta,SX (O) 1.4 TURBO DCT,2021,1202500,Petrol,Automatic,47983,1,SUV,3686,5,Premium
780,Hyundai,Elite i20,SPORTZ 1.4 CRDI,2018,513500,Diesel,Manual,96003,1,Hatchback,3686,8,Mid-Range
781,Hyundai,Xcent,S 1.1 CRDI (O),2015,290000,Diesel,Manual,98047,2,Sedan,3686,11,Budget
782,Hyundai,NEW I20,Sportz 1.2 IVT,2023,698500,Petrol,Automatic,33469,1,Hatchback,3686,3,Mid-Range
783,Hyundai,Grand i10,SPORTZ U2 1.2 CRDI,2017,310000,Diesel,Manual,122586,2,Hatchback,3686,9,Mid-Range
784,Hyundai,i10,SPORTZ 1.2,2013,268627,Petrol,Manual,5732,1,Hatchback,3686,13,Budget
785,Hyundai,Verna,FLUIDIC 1.6 CRDI SX,2014,377258,Diesel,Manual,144946,2,Sedan,3686,12,Mid-Range
786,Hyundai,Verna,FLUIDIC 4S 1.6 VTVT SX,2016,499000,Petrol,Manual,78149,1,Sedan,3686,10,Mid-Range
787,Hyundai,Grand i10,SPORTZ 1.2 KAPPA VTVT,2016,330000,Petrol,Manual,65267,2,Hatchback,3686,10,Mid-Range
788,Hyundai,Eon,MAGNA +,2016,232472,Petrol,Manual,16635,1,Hatchback,3686,10,Budget
789,Hyundai,Grand i10,SPORTZ 1.1 CRDI,2015,319785,Diesel,Manual,96372,1,Hatchback,3686,11,Mid-Range
790,Hyundai,Xcent,S (O) 1.2,2014,291745,Petrol,Manual,89348,2,Sedan,3686,12,Budget
791,Hyundai,Creta,SX PLUS AT 1.6 PETROL,2018,744000,Petrol,Automatic,83106,1,SUV,3686,8,Premium
792,Hyundai,i10,SPORTZ 1.1,2015,241000,Petrol,Manual,84290,1,Hatchback,3686,11,Budget
793,Hyundai,i10,ERA 1.1,2013,215000,Petrol,Manual,54947,1,Hatchback,3686,13,Budget
794,Hyundai,Creta,SX IVT 1.5 PETROL,2020,993000,Petrol,Automatic,99463,1,SUV,3686,6,Premium
795,Hyundai,Creta,SX PLUS AT 1.6 PETROL,2016,617000,Petrol,Automatic,98203,2,SUV,3686,10,Mid-Range
796,Hyundai,Grand i10,ASTA 1.2 KAPPA VTVT,2014,292500,Petrol,Manual,99190,2,Hatchback,3686,12,Budget
797,Hyundai,NEW I20,Asta (O) 1.0 Turbo DCT Dual Tone,2022,849000,Petrol,Automatic,44462,1,Hatchback,3686,4,Premium
798,Hyundai,Creta,SX 1.5 DIESEL,2021,1230000,Diesel,Manual,68523,1,SUV,3686,5,Premium
799,Hyundai,Elite i20,ASTA (O) CVT,2019,640000,Petrol,Automatic,53050,1,Hatchback,3686,7,Mid-Range
800,Hyundai,Grand i10,ASTA 1.2 KAPPA VTVT,2016,365000,Petrol,Manual,80051,1,Hatchback,3686,10,Mid-Range
801,Hyundai,Creta,S 1.4 DIESEL,2017,651000,Diesel,Manual,116727,1,SUV,3686,9,Mid-Range
802,Hyundai,Creta,S PLUS KNIGHT 1.5 PETROL,2023,1299000,Petrol,Manual,23142,1,SUV,3686,3,Premium
803,Hyundai,VENUE,SX PLUS 1.0 TURBO DCT,2020,725000,Petrol,Automatic,76155,1,SUV,3686,6,Premium
804,Hyundai,NEW I20,ASTA (O) 1.5 CRDI MT,2022,714000,Diesel,Manual,91918,1,Hatchback,3686,4,Premium
805,Hyundai,Grand i10,SPORTZ 1.2 KAPPA VTVT,2019,391000,Petrol,Manual,76275,1,Hatchback,3686,7,Mid-Range
806,Hyundai,ALCAZAR,1.5 SIGNATURE MT 6STR,2021,1173423,Diesel,Manual,139134,1,SUV,3686,5,Premium
807,Hyundai,GRAND I10 NIOS,SPORTZ 1.2 KAPPA VTVT,2022,570000,Petrol,Manual,32791,1,Hatchback,3686,4,Mid-Range
808,Hyundai,i10,SPORTZ 1.2 AT,2013,257000,Petrol,Automatic,21660,1,Hatchback,3686,13,Budget
809,Hyundai,AURA,SX PLUS 1.2 AMT,2024,706000,Petrol,Automatic,13194,1,Sedan,3686,2,Premium
810,Hyundai,Elite i20,ASTA 1.2,2017,483000,Petrol,Manual,64410,2,Hatchback,3686,9,Mid-Range
811,Hyundai,Grand i10,ASTA AT 1.2 KAPPA VTVT,2014,336000,Petrol,Automatic,74644,2,Hatchback,3686,12,Mid-Range
812,Hyundai,NEW SANTRO,SPORTZ MT,2021,365000,Petrol,Manual,80580,2,Hatchback,3686,5,Mid-Range
813,Hyundai,Creta,SX (O) 1.4 TURBO DCT,2020,1154500,Petrol,Automatic,49184,2,SUV,3686,6,Premium
814,Hyundai,NEW I20,ASTA (O) 1.2 MT,2023,688000,Petrol,Manual,89158,1,Hatchback,3686,3,Mid-Range
815,Hyundai,NEW SANTRO,SPORTZ MT,2020,385000,Petrol,Manual,60451,1,Hatchback,3686,6,Mid-Range
817,Hyundai,Creta,SX PLUS 1.6 PETROL,2018,842617,Petrol,Manual,31773,1,SUV,3686,8,Premium
818,Hyundai,i20 Active,1.2 SX,2017,508982,Petrol,Manual,91942,1,Hatchback,3686,9,Mid-Range
819,Hyundai,VENUE,S (O) 1.0 TURBO IMT,2022,774680,Petrol,Manual,17062,1,SUV,3686,4,Premium
820,Hyundai,NEW I20,Sportz 1.2 IVT,2023,729155,Petrol,Automatic,32945,1,Hatchback,3686,3,Premium
821,Hyundai,i20,MAGNA 1.4 CRDI,2012,209000,Diesel,Manual,114403,2,Hatchback,3686,14,Budget
822,Hyundai,i10,SPORTZ 1.2,2012,172000,Petrol,Manual,102949,3,Hatchback,3686,14,Budget
823,Hyundai,i20,SPORTZ 1.2,2013,261000,Petrol,Manual,94406,2,Hatchback,3686,13,Budget
824,Hyundai,Elite i20,SPORTZ 1.2,2017,450000,Petrol,Manual,120264,2,Hatchback,3686,9,Mid-Range
825,Hyundai,i20 Active,1.2 S,2017,500000,Petrol,Manual,64456,2,Hatchback,3686,9,Mid-Range
826,Hyundai,NEW I20,Asta 1.0 GDI Turbo IMT,2020,615000,Petrol,Manual,38885,1,Hatchback,3686,6,Mid-Range
827,Hyundai,i20,ASTA 1.4 CRDI,2014,335000,Diesel,Manual,151637,1,Hatchback,3686,12,Mid-Range
828,Hyundai,Creta,SX (O) 1.4 TURBO DCT,2020,1326000,Petrol,Automatic,79224,2,SUV,3686,6,Premium
829,Hyundai,Grand i10,ASTA AT 1.2 KAPPA VTVT,2016,410000,Petrol,Automatic,59849,1,Hatchback,3686,10,Mid-Range
830,Hyundai,Grand i10,ASTA AT 1.2 KAPPA VTVT,2015,377000,Petrol,Automatic,72303,1,Hatchback,3686,11,Mid-Range
831,Hyundai,AURA,SX PLUS 1.2 AMT,2020,697000,Petrol,Automatic,26572,1,Sedan,3686,6,Mid-Range
832,Hyundai,GRAND I10 NIOS,SPORTZ U2 AMT 1.2 CRDI,2021,632000,Diesel,Automatic,90614,2,Hatchback,3686,5,Mid-Range
833,Hyundai,VENUE,S 1.2,2020,565000,Petrol,Manual,35826,3,SUV,3686,6,Mid-Range
834,Hyundai,Grand i10,ASTA 1.2 KAPPA VTVT,2015,349000,Petrol,Manual,90733,2,Hatchback,3686,11,Mid-Range
835,Hyundai,i10,SPORTZ 1.1,2015,210000,Petrol,Manual,61166,3,Hatchback,3686,11,Budget
836,Hyundai,Xcent,S AT 1.2,2018,453000,Petrol,Automatic,50748,1,Sedan,3686,8,Mid-Range
837,Hyundai,NEW I20,ASTA (O) 1.2 MT,2022,716000,Petrol,Manual,40862,2,Hatchback,3686,4,Premium
838,Hyundai,Santro Xing,GL,2011,125000,Petrol,Manual,45972,1,Hatchback,3686,15,Budget
839,Hyundai,i10,SPORTZ 1.2,2012,178000,Petrol,Manual,68101,2,Hatchback,3686,14,Budget
840,Hyundai,Eon,MAGNA +,2015,209000,Petrol,Manual,49965,1,Hatchback,3686,11,Budget
841,Hyundai,AURA,SX 1.2,2021,495000,Petrol,Manual,82220,1,Sedan,3686,5,Mid-Range
842,Hyundai,Creta,S PLUS 1.4 DIESEL,2016,510344,Diesel,Manual,158757,1,SUV,3686,10,Mid-Range
843,Hyundai,VENUE,SX 1.0 TURBO,2020,780000,Petrol,Manual,104042,2,SUV,3686,6,Premium
844,Hyundai,Eon,MAGNA +,2013,133000,Petrol,Manual,105098,2,Hatchback,3686,13,Budget
845,Hyundai,Verna,SX (O)1.5 VTVT,2021,1000000,Petrol,Manual,39407,1,Sedan,3686,5,Premium
846,Hyundai,i10,MAGNA 1.2,2012,195000,Petrol,Manual,18305,2,Hatchback,3686,14,Budget
847,Hyundai,Verna,FLUIDIC 1.6 VTVT SX,2013,203303,Petrol,Manual,123893,4,Sedan,3686,13,Budget
848,Hyundai,VENUE,SX 1.0 (O) TURBO,2019,566000,Petrol,Manual,52658,1,SUV,3686,7,Mid-Range
849,Hyundai,Verna,FLUIDIC 1.6 VTVT SX,2011,159000,Petrol,Manual,94615,3,Sedan,3686,15,Budget
850,Hyundai,i10,MAGNA 1.1 LPG,2012,169000,Petrol,Manual,67370,1,Hatchback,3686,14,Budget
851,Hyundai,i20,SPORTZ 1.4 CRDI,2012,164000,Diesel,Manual,147967,2,Hatchback,3686,14,Budget
852,Hyundai,Elite i20,SPORTZ 1.2,2017,350000,Petrol,Manual,104924,1,Hatchback,3686,9,Mid-Range
853,Hyundai,Grand i10,ASTA 1.2 KAPPA VTVT,2017,300000,Petrol,Manual,155955,2,Hatchback,3686,9,Budget
854,Hyundai,VENUE,S 1.2,2020,595000,Petrol,Manual,39805,1,SUV,3686,6,Mid-Range
855,Hyundai,i10,MAGNA 1.2,2012,165000,Petrol,Manual,69285,1,Hatchback,3686,14,Budget
856,Hyundai,i20,ASTA 1.2,2013,230000,Petrol,Manual,85396,3,Hatchback,3686,13,Budget
857,Hyundai,i20,ASTA (O) 1.2 WITH SUNROOF,2012,250000,Petrol,Manual,72785,1,Hatchback,3686,14,Budget
858,Hyundai,Elite i20,ASTA 1.2 (O),2020,615000,Petrol,Manual,38442,1,Hatchback,3686,6,Mid-Range
859,Hyundai,Xcent,S 1.2,2018,316000,Petrol,Manual,102161,1,Sedan,3686,8,Mid-Range
860,Hyundai,Verna,SX (O) 1.5 MPI MT,2023,1140000,Petrol,Manual,25234,1,Sedan,3686,3,Premium
861,Hyundai,Elite i20,SPORTZ 1.2,2015,366000,Petrol,Manual,89517,2,Hatchback,3686,11,Mid-Range
862,Hyundai,Elite i20,SPORTZ 1.2,2017,484000,Petrol,Manual,12935,1,Hatchback,3686,9,Mid-Range
863,Hyundai,Xcent,S 1.2,2015,273000,Petrol,Manual,140727,2,Sedan,3686,11,Budget
864,Hyundai,Eon,MAGNA +,2013,217000,Petrol,Manual,53563,2,Hatchback,3686,13,Budget
865,Hyundai,Eon,ERA +,2012,161000,Petrol,Manual,53105,1,Hatchback,3686,14,Budget
866,Hyundai,i10,MAGNA 1.1,2012,246000,Petrol,Manual,79703,1,Hatchback,3686,14,Budget
867,Hyundai,Grand i10,MAGNA 1.2 KAPPA VTVT,2015,243000,Petrol,Manual,33977,1,Hatchback,3686,11,Budget
868,Hyundai,i10,SPORTZ 1.1 LPG,2014,240000,Petrol,Manual,105362,2,Hatchback,3686,12,Budget
869,Hyundai,GRAND I10 NIOS,ASTA 1.2 KAPPA VTVT,2020,514000,Petrol,Manual,23467,1,Hatchback,3686,6,Mid-Range
870,Hyundai,Grand i10,MAGNA 1.2 KAPPA VTVT,2019,421000,Petrol,Manual,59494,2,Hatchback,3686,7,Mid-Range
871,Hyundai,Elite i20,SPORTZ PLUS 1.2,2019,586000,Petrol,Manual,41448,1,Hatchback,3686,7,Mid-Range
872,Hyundai,Eon,ERA +,2012,89000,Petrol,Manual,56120,1,Hatchback,3686,14,Budget
873,Hyundai,Eon,MAGNA +,2012,166000,Petrol,Manual,55349,1,Hatchback,3686,14,Budget
874,Hyundai,Eon,D-LITE + LPG,2012,122000,Petrol,Manual,89970,2,Hatchback,3686,14,Budget
875,Hyundai,i10,ERA 1.1,2012,119000,Petrol,Manual,34956,1,Hatchback,3686,14,Budget
876,Hyundai,i20 Active,1.2 S,2015,448000,Petrol,Manual,43921,1,Hatchback,3686,11,Mid-Range
877,Hyundai,i20,SPORTZ 1.2,2013,193911,Petrol,Manual,63306,3,Hatchback,3686,13,Budget
878,Hyundai,Xcent,S 1.2,2014,260000,Petrol,Manual,114377,2,Sedan,3686,12,Budget
879,Hyundai,i20,ASTA 1.2,2011,210000,Petrol,Manual,82118,2,Hatchback,3686,15,Budget
880,Hyundai,Elite i20,ASTA 1.4 CRDI,2016,430000,Diesel,Manual,112406,1,Hatchback,3686,10,Mid-Range
881,Hyundai,i10,SPORTZ 1.2,2011,200000,Petrol,Manual,94334,1,Hatchback,3686,15,Budget
882,Hyundai,i10,SPORTZ 1.1,2014,250000,Petrol,Manual,161261,1,Hatchback,3686,12,Budget
883,Hyundai,Eon,ERA +,2012,125000,Petrol,Manual,71159,2,Hatchback,3686,14,Budget
884,Hyundai,i10,MAGNA 1.2,2012,181000,Petrol,Manual,99318,2,Hatchback,3686,14,Budget
885,Hyundai,Eon,ERA + LPG,2014,162000,Petrol,Manual,106685,4,Hatchback,3686,12,Budget
886,Hyundai,i10,SPORTZ 1.2,2013,243000,Petrol,Manual,86283,2,Hatchback,3686,13,Budget
887,Hyundai,XCENT PRIME,T  VTVT CNG,2018,340000,CNG,Manual,103144,1,Sedan,3686,8,Mid-Range
888,Hyundai,Elite i20,MAGNA 1.2,2017,430000,Petrol,Manual,57934,1,Hatchback,3686,9,Mid-Range
889,Hyundai,i10,SPORTZ 1.1,2014,243000,Petrol,Manual,90705,2,Hatchback,3686,12,Budget
890,Hyundai,Grand i10,ASTA 1.2 KAPPA VTVT,2014,331000,Petrol,Manual,83736,1,Hatchback,3686,12,Mid-Range
891,Hyundai,i20,ASTA 1.4 CRDI,2011,171000,Diesel,Manual,151741,3,Hatchback,3686,15,Budget
892,Hyundai,Elite i20,SPORTZ 1.2,2016,405000,Petrol,Manual,47947,1,Hatchback,3686,10,Mid-Range
893,Hyundai,i10,MAGNA 1.2,2013,190000,Petrol,Manual,56149,2,Hatchback,3686,13,Budget
894,Hyundai,i10,MAGNA 1.2,2011,128000,Petrol,Manual,63938,1,Hatchback,3686,15,Budget
895,Hyundai,Verna,FLUIDIC 1.6 CRDI SX,2012,250000,Diesel,Manual,117219,1,Sedan,3686,14,Budget
896,Hyundai,GRAND I10 NIOS,SPORTZ 1.2 KAPPA VTVT,2020,488000,Petrol,Manual,36606,1,Hatchback,3686,6,Mid-Range
897,Hyundai,i20,SPORTZ 1.2,2012,213000,Petrol,Manual,112500,3,Hatchback,3686,14,Budget
898,Hyundai,i20,MAGNA 1.4 CRDI,2011,142000,Diesel,Manual,125489,3,Hatchback,3686,15,Budget
899,Hyundai,NEW SANTRO,MAGNA AMT,2019,348000,Petrol,Automatic,73179,3,Hatchback,3686,7,Mid-Range
900,Hyundai,i10,SPORTZ 1.1 LPG,2013,180000,Petrol,Manual,148868,2,Hatchback,3686,13,Budget
901,Hyundai,Grand i10,ASTA 1.2 KAPPA VTVT,2013,287000,Petrol,Manual,58622,1,Hatchback,3686,13,Budget
902,Hyundai,Xcent,BASE 1.2,2014,280000,Petrol,Manual,76186,2,Sedan,3686,12,Budget
903,Hyundai,Elite i20,ASTA 1.4 CRDI,2015,423000,Diesel,Manual,95334,1,Hatchback,3686,11,Mid-Range
904,Hyundai,i10,SPORTZ 1.2,2014,238000,Petrol,Manual,86407,1,Hatchback,3686,12,Budget
905,Hyundai,Grand i10,SPORTZ 1.2 KAPPA VTVT,2019,366000,Petrol,Manual,81927,2,Hatchback,3686,7,Mid-Range
906,Hyundai,i20,SPORTZ 1.2,2011,194000,Petrol,Manual,102183,4,Hatchback,3686,15,Budget
907,Hyundai,Grand i10,SPORTZ 1.1 CRDI,2016,278000,Diesel,Manual,157309,2,Hatchback,3686,10,Budget
908,Hyundai,Verna,FLUIDIC 1.6 CRDI EX,2011,206000,Diesel,Manual,130140,2,Sedan,3686,15,Budget
909,Hyundai,Verna,TRANSFORM 1.5 SX CRDI,2010,181000,Diesel,Manual,140801,2,Sedan,3686,16,Budget
910,Hyundai,NEW I20,SPORTZ 1.2 AT,2020,580000,Petrol,Automatic,84255,1,Hatchback,3686,6,Mid-Range
911,Hyundai,Grand i10,SPORTZ 1.1 CRDI,2016,259000,Diesel,Manual,144544,7,Hatchback,3686,10,Budget
912,Hyundai,i20,ERA 1.2,2015,367000,Petrol,Manual,41650,1,Hatchback,3686,11,Mid-Range
913,Hyundai,i20,ASTA 1.4 CRDI,2010,180000,Diesel,Manual,98728,2,Hatchback,3686,16,Budget
914,Hyundai,Verna,FLUIDIC 1.6 VTVT SX,2014,340000,Petrol,Manual,83801,2,Sedan,3686,12,Mid-Range
915,Hyundai,i10,SPORTZ 1.2,2011,156000,Petrol,Manual,63304,2,Hatchback,3686,15,Budget
